mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
33	32	126	130	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	575								
33	32	505/4	521/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	576								
33	32	253/2	261/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	577								
33	32	507/4	523/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	578								
33	32	127	131	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	579								
33	32	509/4	525/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	580								
33	32	255/2	263/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	581								
33	32	511/4	527/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	582								
34	33	128	132	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	583								89
34	33	129	133	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	584								89, 90
34	33	517/4	533/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	585								89
34	33	259/2	267/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	586								89
34	33	519/4	535/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	587								
34	33	130	134	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	588								91
34	33	523/4	539/4	0.125		11/16	11/16	Chord	4/4	1	1	1/32	1/32	1	589								91
34	33	1047/8	1079/8	0.125		23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	590								
34	33	131	135	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	591								
34	33	128	132	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	592								
34	33	513/4	529/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	593								
34	33	257/2	265/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	594								
34	33	515/4	531/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	595								
34	33	129	133	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	596								
34	33	517/4	533/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	597								
34	33	259/2	267/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	598								
34	33	519/4	535/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	599								
34	33	130	134	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	600								
34	33	521/4	537/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	601								
34	33	261/2	269/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	602								
34	33	523/4	539/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	603								
34	33	131	135	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	604								
34	33	525/4	541/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	605								
34	33	263/2	271/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	606								
34	33	527/4	543/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	607								
35	34	132	136	0.75		0	0	Chord	4/4	1	1	3/16	1/8	3/2	608								92
35	34	531/4	547/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	609								92
35	34	133	137	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	610								
35	34	533/4	549/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	611	articStaccatoAbove							
35	34	267/2	275/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	612	articStaccatoAbove							
35	34	535/4	551/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	613	articStaccatoAbove							
35	34	134	138	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	614								93
35	34	539/4	555/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	615								93
35	34	135	139	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	616								
35	34	541/4	557/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	617	articStaccatoAbove							
35	34	271/2	279/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	618	articStaccatoAbove							
35	34	543/4	559/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	619	articStaccatoAbove							
35	34	132	136	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	620								
35	34	529/4	545/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	621								
35	34	265/2	273/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	622								
35	34	531/4	547/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	623								
35	34	133	137	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	624								
35	34	533/4	549/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	625								
35	34	267/2	275/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	626								
35	34	535/4	551/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	627								
35	34	134	138	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	628								
35	34	537/4	553/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	629								
35	34	269/2	277/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	630								
35	34	539/4	555/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	631								
35	34	135	139	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	632								
35	34	541/4	557/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	633								
35	34	271/2	279/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	634								
35	34	543/4	559/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	635								
36	35	136	140	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	636								94
36	35	545/4	561/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	637								94
36	35	273/2	281/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	638								94
36	35	547/4	563/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	639								
36	35	137	141	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	640								95
36	35	549/4	565/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	641								
36	35	275/2	283/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	642								96
36	35	551/4	567/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	643								
36	35	138	142	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	644								97
36	35	553/4	569/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	645								97
36	35	277/2	285/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	646								97
36	35	555/4	571/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	647								97
36	35	139	143	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	648								97
36	35	557/4	573/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	649								97
36	35	279/2	287/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	650								97
36	35	559/4	575/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	651								
36	35	136	140	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	652								
36	35	545/4	561/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	653								
36	35	273/2	281/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	654								
36	35	547/4	563/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	655								
36	35	137	141	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	656								
36	35	549/4	565/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	657								
36	35	275/2	283/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	658								
36	35	551/4	567/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	659								
36	35	138	142	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	660								
37	36	140	144	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	661								
37	36	141	145	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	662								
37	36	565/4	581/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	663								
37	36	283/2	291/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	664								
37	36	567/4	583/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	665								
37	36	142	146	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	666								
37	36	285/2	293/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	667								
37	36	143	147	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	668								
37	36	573/4	589/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	669								
37	36	287/2	295/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	670								
37	36	575/4	591/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	671								
37	36	140	144	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	672								
37	36	142	146	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	673								
37	36	143	147	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	674								
37	36	140	144	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	675								
37	36	561/4	577/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	676								
37	36	281/2	289/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	677								
37	36	563/4	579/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	678								
37	36	141	145	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	679								
37	36	565/4	581/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	680								
37	36	283/2	291/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	681								
37	36	567/4	583/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	682								
37	36	142	146	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	683								
37	36	569/4	585/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	684								
37	36	285/2	293/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	685								
37	36	571/4	587/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	686								
37	36	143	147	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	687								
37	36	573/4	589/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	688								
37	36	287/2	295/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	689								
37	36	575/4	591/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	690								
38	37	144	148	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	691								
38	37	289/2	297/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	692								
38	37	145	149	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	693								
38	37	581/4	597/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	694								
38	37	291/2	299/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	695								
38	37	583/4	599/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	696								
38	37	146	150	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	697								98
38	37	147	151	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	698								
38	37	144	148	1.0		0	0	Chord	4/4	1	2	1/4	1/4	1	699								
38	37	144	148	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	700								
38	37	577/4	593/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	701								
38	37	289/2	297/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	702								
38	37	579/4	595/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	703								
38	37	145	149	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	704								
38	37	291/2	299/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	705								
38	37	146	150	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	706								
38	37	585/4	601/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	707								
38	37	293/2	301/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	708								
38	37	587/4	603/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	709								
38	37	147	151	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	710								
38	37	589/4	605/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	711								
38	37	295/2	303/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	712								
38	37	591/4	607/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	713								
39	38	148	152	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	714								99
39	38	149	153	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	715								99
39	38	597/4	613/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	716								99
39	38	299/2	307/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	717								
39	38	599/4	615/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	718								
39	38	150	154	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	719								100
39	38	151	155	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	720								100
39	38	605/4	621/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	721								100
39	38	303/2	311/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	722								100
39	38	607/4	623/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	723								
39	38	148	152	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	724								
39	38	593/4	609/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	725								
39	38	297/2	305/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	726								
39	38	595/4	611/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	727								
39	38	149	153	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	728								
39	38	597/4	613/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	729								
39	38	299/2	307/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	730								
39	38	599/4	615/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	731								
39	38	150	154	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	732								
39	38	601/4	617/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	733								
39	38	301/2	309/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	734								
39	38	603/4	619/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	735								
39	38	151	155	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	736								
39	38	605/4	621/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	737								
39	38	303/2	311/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	738								
39	38	607/4	623/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	739								
40	39	152	156	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	740								101
40	39	609/4	625/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	741								
40	39	305/2	313/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	742								
40	39	611/4	627/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	743								
40	39	153	157	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	744								
40	39	613/4	629/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	745								
40	39	307/2	315/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	746								
40	39	615/4	631/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	747								
40	39	154	158	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	748								102
40	39	155	159	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	749								103
40	39	621/4	637/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	750								103
40	39	311/2	319/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	751								103
40	39	623/4	639/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	752								
40	39	152	156	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	753								
40	39	305/2	313/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	754								
40	39	153	157	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	755								
40	39	307/2	315/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	756								
40	39	154	158	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	757								104
40	39	155	159	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	758								
41	40	625/4	641/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	759								105
41	40	313/2	321/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	760								105
41	40	627/4	643/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	761								
41	40	629/4	645/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	762								106
41	40	315/2	323/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	763								106
41	40	631/4	647/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	764								
41	40	633/4	649/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	765								107
41	40	317/2	325/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	766								107
41	40	635/4	651/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	767								
41	40	637/4	653/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	768								108
41	40	319/2	327/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	769								108
41	40	639/4	655/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	770								
41	40	156	160	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	771								
41	40	157	161	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	772								
41	40	158	162	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	773								
41	40	159	163	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	774								
42	41	641/4	657/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	775								109
42	41	321/2	329/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	776								109
42	41	643/4	659/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	777								109
42	41	161	165	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	778								109
42	41	645/4	661/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	779								109
42	41	323/2	331/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	780								109
42	41	647/4	663/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	781								
42	41	162	166	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	782								
42	41	163	167	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	783								110
42	41	653/4	669/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	784								110
42	41	327/2	335/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	785								110
42	41	655/4	671/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	786								
42	41	160	164	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	787								
42	41	649/4	665/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	788								111
42	41	325/2	333/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	789								111
42	41	651/4	667/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	790								111
42	41	163	167	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	791								111
42	41	327/2	335/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	792								
42	41	649/4	665/4	1.0		9/16	9/16	Chord	4/4	2	2	1/4	1/4	1	793								
43	42	164	168	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	794								
43	42	165	169	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	795								112
43	42	661/4	677/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	796								112
43	42	331/2	339/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	797								112
43	42	663/4	679/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	798								
43	42	166	170	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	799								
43	42	167	171	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	800								113
43	42	669/4	685/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	801								113
43	42	335/2	343/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	802								113
43	42	671/4	687/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	803								
43	42	657/4	673/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	804								114
43	42	329/2	337/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	805								114
43	42	659/4	675/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	806								114
43	42	165	169	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	807								114
43	42	331/2	339/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	808								
43	42	665/4	681/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	809								115
43	42	333/2	341/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	810								115
43	42	667/4	683/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	811								115
43	42	167	171	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	812								
43	42	665/4	681/4	1.0		9/16	9/16	Chord	4/4	2	2	1/4	1/4	1	813								
44	43	168	172	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	814								116
44	43	673/4	689/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	815								116
44	43	337/2	345/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	816								116
44	43	675/4	691/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	817								116
44	43	169	173	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	818								116
44	43	677/4	693/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	819								116
44	43	339/2	347/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	820								116
44	43	679/4	695/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	821								
44	43	170	174	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	822								117
44	43	683/4	699/4	0.125		11/16	11/16	Chord	4/4	1	1	1/32	1/32	1	823								117
44	43	1367/8	1399/8	0.125		23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	824								
44	43	171	175	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	825								
44	43	168	172	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	826								
44	43	170	174	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	827								
44	43	171	175	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	828								
45	44	172	176	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	829								118
45	44	173	177	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	830								118
45	44	347/2	355/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	831								118
45	44	174	178	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	832								
45	44	349/2	357/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	833								119
45	44	175	179	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	834								119
45	44	351/2	359/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	835								119
45	44	172	176	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	836								
45	44	347/2	355/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	837								
45	44	174	178	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	838								
45	44	351/2	359/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	839								120
46	45	176	180	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	840								
46	45	353/2	361/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	841								121
46	45	177	181	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	842								121
46	45	355/2	363/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	843								
46	45	178	182	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	844								122
46	45	715/4	731/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	845								
46	45	179	183	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	846								123
46	45	717/4	733/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	847								123
46	45	359/2	367/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	848								123
46	45	719/4	735/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	849								
46	45	176	180	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	850								
46	45	178	182	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	851								
46	45	179	183	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	852								
46	45	176	180	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	853								120
46	45	353/2	361/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	854								120
46	45	177	181	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	855								120
46	45	355/2	363/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	856								
46	45	178	182	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	857								
46	45	179	183	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	858								
47	46	180	184	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	859								124
47	46	181	185	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	860								124
47	46	363/2	371/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	861								
47	46	182	186	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	862	articStaccatoAbove							
47	46	365/2	373/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	863	articStaccatoAbove							
